Países,Densidad,Población,Población.1,Var.,Año
Argelia [+],15.0,36.717.000,,"2,05%",2011
Ecuador [+],59.0,15.161.000,,"1,86%",2011
Estonia [+],29.0,1.325.217,,"-0,33%",2011
Egipto [+],80.0,80.500.000,,"2,29%",2011
Eritrea [+],25.0,2.998.485,,"1,81%",2011
Etiopía [+],71.0,80.700.000,,"2,38%",2011
Finlandia [+],16.0,5.401.267,,"0,48%",2011
Fiyi [+],47.0,852.000,,"0,47%",2011
Estados Federados de Micronesia [+],149.0,104.000,,"0,97%",2011
Gabón [+],6.0,1.671.000,,"3,79%",2011
Granada [+],315.0,107.000,,"1,90%",2011
Georgia [+],65.0,4.497.617,,"0,63%",2011
Ghana [+],109.0,26.095.000,,"2,43%",2011
Gambia [+],176.0,1.984.000,,"2,96%",2011
Guinea [+],45.0,11.162.000,,"2,63%",2011
Guinea Ecuatorial [+],35.0,994.000,,"4,52%",2011
Grecia [+],84.0,11.086.406,,"-0,33%",2011
Guatemala [+],136.0,14.792.000,,"2,01%",2011
Guinea-Bisáu [+],41.0,1.492.000,,"2,19%",2011
Guyana [+],3.0,749.000,,"-0,53%",2011
Hong Kong [+],6.464,7.110.000,,"0,82%",2011
Honduras [+],76.0,8.541.000,,"2,09%",2011
Croacia [+],76.0,4.275.984,,"-0,32%",2011
Haití [+],357.0,9.914.904,,"1,14%",2011
Hungría [+],107.0,9.931.925,,"-0,54%",2011
Indonesia [+],127.0,241.991.000,,"1,83%",2011
Irlanda [+],65.0,4.589.287,,"0,40%",2011
Israel [+],352.0,7.763.000,,"1,86%",2011
India [+],384.0,1.261.225.000,,"1,43%",2011
Irak [+],73.0,31.760.000,,"2,58%",2011
Irán [+],43.0,75.150.000,,"1,34%",2011
Islandia [+],3.0,319.575,,"0,35%",2011
Jamaica [+],246.0,2.703.000,,"0,26%",2011
Jordania [+],80.0,7.110.000,,"2,58%",2011
Kenia [+],68.0,39.500.000,,"2,33%",2011
Kirguistán [+],27.0,5.478.000,,"1,11%",2011
Camboya [+],81.0,14.723.000,,"1,53%",2011
Kiribati [+],128.0,104.000,,"0,97%",2011
Comoras [+],360.0,670.000,,"2,13%",2011
San Cristóbal y Nieves [+],181.0,47.000,,0,2011
Corea del Norte [+],208.0,25.097.874,,"0,44%",2011
Corea del Sur [+],499.0,49.937.000,,"0,77%",2011
Kuwait [+],182.0,3.247.000,,"10,71%",2011
Kazajistán [+],6.0,16.557.000,,"1,44%",2011
Laos [+],27.0,6.416.000,,"1,47%",2011
Líbano [+],483.0,5.045.000,,"0,98%",2011
Santa Lucía [+],277.0,172.000,,"0,58%",2011
Liechtenstein [+],228.0,36.475,,"0,90%",2011
Sri Lanka [+],311.0,20.398.000,,"0,67%",2011
Liberia [+],36.0,4.017.000,,"3,24%",2011
Lesoto [+],66.0,2.014.000,,"0,90%",2011
Lituania [+],46.0,3.003.641,,"-1,60%",2011
Luxemburgo [+],203.0,524.853,,"2,54%",2011
Letonia [+],32.0,2.044.813,,"-1,44%",2011
Libia [+],4.0,6.343.000,,"-2,39%",2011
